"id";"ville_id";"nom";"slug"
"1";"1";"Volo volo";"volo-volo"
"2";"1";"Moroni Nord";"moroni-nord"
"7";"10";"Agence de Fomboni";"agence-de-fomboni"
"8";"11";"Agence de Djoiezi-Mohéli";"agence-de-djoiezi-moheli"
"9";"13";"Agence de Nioumachoi";"agence-de-nioumachoi"
"10";"14";"Agence de Hoani";"agence-de-hoani"
"11";"24";"Agence de Wanani";"agence-de-wanani"
"12";"124";"Agence de Wallah II";"agence-de-wallah-ii"
"13";"5";"Agence de Missiri";"agence-de-missiri"
"14";"6";"Agence de Ouani";"agence-de-ouani"
"15";"125";"Agence de Koki";"agence-de-koki"
"16";"120";"Agence de Tsembehou";"agence-de-tsembehou"
"17";"127";"Agence de Bambao Mtsanga";"agence-de-bambao-mtsanga"
"18";"122";"Agence Hajoho";"agence-hajoho"
"19";"128";"Agence de Koni";"agence-de-koni"
"20";"152";"Agence de Domoni";"agence-de-domoni"
"21";"129";"Agence de Mremani";"agence-de-mremani"
"23";"132";"Agence de Mkazi";"agence-de-mkazi"
"24";"3";"Agence d'Iconi";"agence-diconi"
"25";"4";"Agence de Hahaya Ville";"agence-de-hahaya-ville"
"26";"4";"Agence de Hahaya Aeroport";"agence-de-hahaya-aeroport"
"27";"133";"Agence de Ntoudjini";"agence-de-ntoudjini"
"28";"1";"Agence de Zilimadjou";"agence-de-zilimadjou"
"29";"134";"Agence de Mbeni";"agence-de-mbeni"
"30";"59";"Agence de Mitsamiouli";"agence-de-mitsamiouli"
"31";"135";"Agence de Kariako";"agence-de-kariako"
"32";"143";"Agevce de Koimbani";"agevce-de-koimbani"
"33";"76";"Agence de Foumbouni";"agence-de-foumbouni"
